query_id,anchor,tool,doc,label
v1-0001,Find GitHub repos about vector databases with strong adoption.,search_repositories,"{""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""properties"":{""minimal_output"":{""default"":true,""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""type"":""boolean""},""order"":{""description"":""Sort order"",""enum"":[""asc"",""desc""],""type"":""string""},""page"":{""description"":""Page number for pagination (min 1)"",""minimum"":1,""type"":""number""},""perPage"":{""description"":""Results per page for pagination (min 1, max 100)"",""maximum"":100,""minimum"":1,""type"":""number""},""query"":{""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering."",""type"":""string""},""sort"":{""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""],""type"":""string""}},""required"":[""query""],""type"":""object""},""name"":""search_repositories""}",1
v1-0001,Find GitHub repos about vector databases with strong adoption.,create_repository,"{""description"":""Create a new GitHub repository in your account or specified organization"",""inputSchema"":{""properties"":{""autoInit"":{""description"":""Initialize with README"",""type"":""boolean""},""description"":{""description"":""Repository description"",""type"":""string""},""name"":{""description"":""Repository name"",""type"":""string""},""organization"":{""description"":""Organization to create the repository in (omit to create in your personal account)"",""type"":""string""},""private"":{""description"":""Whether repo should be private"",""type"":""boolean""}},""required"":[""name""],""type"":""object""},""name"":""create_repository""}",0
v1-0001,Find GitHub repos about vector databases with strong adoption.,search_code,"{""description"":""Fast and precise code search across ALL GitHub repositories using GitHub's native search engine. Best for finding exact symbols, functions, classes, or specific code patterns."",""inputSchema"":{""properties"":{""order"":{""description"":""Sort order for results"",""enum"":[""asc"",""desc""],""type"":""string""},""page"":{""description"":""Page number for pagination (min 1)"",""minimum"":1,""type"":""number""},""perPage"":{""description"":""Results per page for pagination (min 1, max 100)"",""maximum"":100,""minimum"":1,""type"":""number""},""query"":{""description"":""Search query using GitHub's powerful code search syntax. Examples: 'content:Skill language:Java org:github', 'NOT is:archived language:Python OR language:go', 'repo:github/github-mcp-server'. Supports exact matching, language filters, path filters, and more."",""type"":""string""},""sort"":{""description"":""Sort field ('indexed' only)"",""type"":""string""}},""required"":[""query""],""type"":""object""},""name"":""search_code""}",0
v1-0001,Find GitHub repos about vector databases with strong adoption.,fork_repository,"{""description"":""Fork a GitHub repository to your account or specified organization"",""inputSchema"":{""properties"":{""organization"":{""description"":""Organization to fork to"",""type"":""string""},""owner"":{""description"":""Repository owner"",""type"":""string""},""repo"":{""description"":""Repository name"",""type"":""string""}},""required"":[""owner"",""repo""],""type"":""object""},""name"":""fork_repository""}",0
v1-0001,Find GitHub repos about vector databases with strong adoption.,search_pull_requests,"{""description"":""Search for pull requests in GitHub repositories using issues search syntax already scoped to is:pr"",""inputSchema"":{""properties"":{""order"":{""description"":""Sort order"",""enum"":[""asc"",""desc""],""type"":""string""},""owner"":{""description"":""Optional repository owner. If provided with repo, only pull requests for this repository are listed."",""type"":""string""},""page"":{""description"":""Page number for pagination (min 1)"",""minimum"":1,""type"":""number""},""perPage"":{""description"":""Results per page for pagination (min 1, max 100)"",""maximum"":100,""minimum"":1,""type"":""number""},""query"":{""description"":""Search query using GitHub pull request search syntax"",""type"":""string""},""repo"":{""description"":""Optional repository name. If provided with owner, only pull requests for this repository are listed."",""type"":""string""},""sort"":{""description"":""Sort field by number of matches of categories, defaults to best match"",""enum"":[""comments"",""reactions"",""reactions-+1"",""reactions--1"",""reactions-smile"",""reactions-thinking_face"",""reactions-heart"",""reactions-tada"",""interactions"",""created"",""updated""],""type"":""string""}},""required"":[""query""],""type"":""object""},""name"":""search_pull_requests""}",0
v1-0003,Look up repositories for OAuth server implementations in Rust.,search_repositories,"{""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""properties"":{""minimal_output"":{""default"":true,""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""type"":""boolean""},""order"":{""description"":""Sort order"",""enum"":[""asc"",""desc""],""type"":""string""},""page"":{""description"":""Page number for pagination (min 1)"",""minimum"":1,""type"":""number""},""perPage"":{""description"":""Results per page for pagination (min 1, max 100)"",""maximum"":100,""minimum"":1,""type"":""number""},""query"":{""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering."",""type"":""string""},""sort"":{""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""],""type"":""string""}},""required"":[""query""],""type"":""object""},""name"":""search_repositories""}",1
v1-0003,Look up repositories for OAuth server implementations in Rust.,create_repository,"{""description"":""Create a new GitHub repository in your account or specified organization"",""inputSchema"":{""properties"":{""autoInit"":{""description"":""Initialize with README"",""type"":""boolean""},""description"":{""description"":""Repository description"",""type"":""string""},""name"":{""description"":""Repository name"",""type"":""string""},""organization"":{""description"":""Organization to create the repository in (omit to create in your personal account)"",""type"":""string""},""private"":{""description"":""Whether repo should be private"",""type"":""boolean""}},""required"":[""name""],""type"":""object""},""name"":""create_repository""}",0
v1-0003,Look up repositories for OAuth server implementations in Rust.,fork_repository,"{""description"":""Fork a GitHub repository to your account or specified organization"",""inputSchema"":{""properties"":{""organization"":{""description"":""Organization to fork to"",""type"":""string""},""owner"":{""description"":""Repository owner"",""type"":""string""},""repo"":{""description"":""Repository name"",""type"":""string""}},""required"":[""owner"",""repo""],""type"":""object""},""name"":""fork_repository""}",0
v1-0003,Look up repositories for OAuth server implementations in Rust.,get_team_members,"{""description"":""Get member usernames of a specific team in an organization. Limited to organizations accessible with current credentials"",""inputSchema"":{""properties"":{""org"":{""description"":""Organization login (owner) that contains the team."",""type"":""string""},""team_slug"":{""description"":""Team slug"",""type"":""string""}},""required"":[""org"",""team_slug""],""type"":""object""},""name"":""get_team_members""}",0
v1-0003,Look up repositories for OAuth server implementations in Rust.,search_code,"{""description"":""Fast and precise code search across ALL GitHub repositories using GitHub's native search engine. Best for finding exact symbols, functions, classes, or specific code patterns."",""inputSchema"":{""properties"":{""order"":{""description"":""Sort order for results"",""enum"":[""asc"",""desc""],""type"":""string""},""page"":{""description"":""Page number for pagination (min 1)"",""minimum"":1,""type"":""number""},""perPage"":{""description"":""Results per page for pagination (min 1, max 100)"",""maximum"":100,""minimum"":1,""type"":""number""},""query"":{""description"":""Search query using GitHub's powerful code search syntax. Examples: 'content:Skill language:Java org:github', 'NOT is:archived language:Python OR language:go', 'repo:github/github-mcp-server'. Supports exact matching, language filters, path filters, and more."",""type"":""string""},""sort"":{""description"":""Sort field ('indexed' only)"",""type"":""string""}},""required"":[""query""],""type"":""object""},""name"":""search_code""}",0
v1-0004,Find public repositories for Next.js ecommerce applications.,search_repositories,"{""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""properties"":{""minimal_output"":{""default"":true,""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""type"":""boolean""},""order"":{""description"":""Sort order"",""enum"":[""asc"",""desc""],""type"":""string""},""page"":{""description"":""Page number for pagination (min 1)"",""minimum"":1,""type"":""number""},""perPage"":{""description"":""Results per page for pagination (min 1, max 100)"",""maximum"":100,""minimum"":1,""type"":""number""},""query"":{""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering."",""type"":""string""},""sort"":{""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""],""type"":""string""}},""required"":[""query""],""type"":""object""},""name"":""search_repositories""}",1
v1-0004,Find public repositories for Next.js ecommerce applications.,create_repository,"{""description"":""Create a new GitHub repository in your account or specified organization"",""inputSchema"":{""properties"":{""autoInit"":{""description"":""Initialize with README"",""type"":""boolean""},""description"":{""description"":""Repository description"",""type"":""string""},""name"":{""description"":""Repository name"",""type"":""string""},""organization"":{""description"":""Organization to create the repository in (omit to create in your personal account)"",""type"":""string""},""private"":{""description"":""Whether repo should be private"",""type"":""boolean""}},""required"":[""name""],""type"":""object""},""name"":""create_repository""}",0
v1-0004,Find public repositories for Next.js ecommerce applications.,search_code,"{""description"":""Fast and precise code search across ALL GitHub repositories using GitHub's native search engine. Best for finding exact symbols, functions, classes, or specific code patterns."",""inputSchema"":{""properties"":{""order"":{""description"":""Sort order for results"",""enum"":[""asc"",""desc""],""type"":""string""},""page"":{""description"":""Page number for pagination (min 1)"",""minimum"":1,""type"":""number""},""perPage"":{""description"":""Results per page for pagination (min 1, max 100)"",""maximum"":100,""minimum"":1,""type"":""number""},""query"":{""description"":""Search query using GitHub's powerful code search syntax. Examples: 'content:Skill language:Java org:github', 'NOT is:archived language:Python OR language:go', 'repo:github/github-mcp-server'. Supports exact matching, language filters, path filters, and more."",""type"":""string""},""sort"":{""description"":""Sort field ('indexed' only)"",""type"":""string""}},""required"":[""query""],""type"":""object""},""name"":""search_code""}",0
v1-0004,Find public repositories for Next.js ecommerce applications.,fork_repository,"{""description"":""Fork a GitHub repository to your account or specified organization"",""inputSchema"":{""properties"":{""organization"":{""description"":""Organization to fork to"",""type"":""string""},""owner"":{""description"":""Repository owner"",""type"":""string""},""repo"":{""description"":""Repository name"",""type"":""string""}},""required"":[""owner"",""repo""],""type"":""object""},""name"":""fork_repository""}",0
v1-0004,Find public repositories for Next.js ecommerce applications.,get_team_members,"{""description"":""Get member usernames of a specific team in an organization. Limited to organizations accessible with current credentials"",""inputSchema"":{""properties"":{""org"":{""description"":""Organization login (owner) that contains the team."",""type"":""string""},""team_slug"":{""description"":""Team slug"",""type"":""string""}},""required"":[""org"",""team_slug""],""type"":""object""},""name"":""get_team_members""}",0
v1-0005,Search GitHub for fraud detection pipeline repositories.,search_repositories,"{""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""properties"":{""minimal_output"":{""default"":true,""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""type"":""boolean""},""order"":{""description"":""Sort order"",""enum"":[""asc"",""desc""],""type"":""string""},""page"":{""description"":""Page number for pagination (min 1)"",""minimum"":1,""type"":""number""},""perPage"":{""description"":""Results per page for pagination (min 1, max 100)"",""maximum"":100,""minimum"":1,""type"":""number""},""query"":{""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering."",""type"":""string""},""sort"":{""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""],""type"":""string""}},""required"":[""query""],""type"":""object""},""name"":""search_repositories""}",1
v1-0005,Search GitHub for fraud detection pipeline repositories.,search_code,"{""description"":""Fast and precise code search across ALL GitHub repositories using GitHub's native search engine. Best for finding exact symbols, functions, classes, or specific code patterns."",""inputSchema"":{""properties"":{""order"":{""description"":""Sort order for results"",""enum"":[""asc"",""desc""],""type"":""string""},""page"":{""description"":""Page number for pagination (min 1)"",""minimum"":1,""type"":""number""},""perPage"":{""description"":""Results per page for pagination (min 1, max 100)"",""maximum"":100,""minimum"":1,""type"":""number""},""query"":{""description"":""Search query using GitHub's powerful code search syntax. Examples: 'content:Skill language:Java org:github', 'NOT is:archived language:Python OR language:go', 'repo:github/github-mcp-server'. Supports exact matching, language filters, path filters, and more."",""type"":""string""},""sort"":{""description"":""Sort field ('indexed' only)"",""type"":""string""}},""required"":[""query""],""type"":""object""},""name"":""search_code""}",0
