anchor,positive_schema
"Search for repositories matching machine learning in Python.","{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
"Find GitHub repos about vector databases with strong adoption.","{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
"Search repositories tagged with kubernetes and helm.","{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
"Look up repositories for OAuth server implementations in Rust.","{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
"Find public repositories for Next.js ecommerce applications.","{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
"Search GitHub for fraud detection pipeline repositories.","{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
"Find repositories containing auth-service in the name.","{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
"Search for graph neural network repositories with active maintenance.","{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
"Look for repositories implementing recommendation systems in Java.","{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
"Find repositories for Terraform AWS networking modules.","{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
