query,subset,difficulty
"Hey, how are you doing today?",chitchat,far
Good morning! Ready to start the day?,chitchat,far
What's your favorite movie of all time?,chitchat,far
Tell me a joke about programmers.,chitchat,far
What is the capital of Australia?,chitchat,far
How many ounces are in a kilogram?,chitchat,far
What's 1247 times 38?,chitchat,far
Explain the difference between affect and effect.,chitchat,far
Write a haiku about autumn rain.,chitchat,far
What should I cook for dinner tonight with chicken and rice?,chitchat,far
Recommend a good science fiction novel.,chitchat,far
Why is the sky blue?,chitchat,far
How do airplanes stay in the air?,chitchat,far
What's the best way to learn Spanish quickly?,chitchat,far
Give me three tips for better sleep.,chitchat,far
What happened in the French Revolution?,chitchat,far
Who painted the Mona Lisa?,chitchat,far
Is a tomato a fruit or a vegetable?,chitchat,far
How long does it take to boil an egg?,chitchat,far
What's a good name for a golden retriever puppy?,chitchat,far
Can you explain what a closure is in Python?,chitchat,far
What is the time complexity of quicksort?,chitchat,far
Explain the CAP theorem in simple terms.,chitchat,far
What's the difference between TCP and UDP?,chitchat,far
How does garbage collection work in Java?,chitchat,far
When should I use a linked list instead of an array?,chitchat,far
What does the walrus operator do in Python?,chitchat,far
Explain dependency injection like I'm five.,chitchat,far
What are the SOLID principles?,chitchat,far
Why do people say premature optimization is the root of all evil?,chitchat,far
How was your week?,chitchat,far
Do you think cats or dogs make better pets?,chitchat,far
What's the weather like in your world?,chitchat,far
I'm feeling a bit tired today.,chitchat,far
"Congratulations are in order, I passed my exam!",chitchat,far
What's a fun fact about octopuses?,chitchat,far
How tall is Mount Everest?,chitchat,far
What year did the Berlin Wall fall?,chitchat,far
Translate 'good evening' into Italian.,chitchat,far
What rhymes with orange?,chitchat,far
Summarize the plot of Romeo and Juliet in two sentences.,chitchat,far
What's the healthiest breakfast option?,chitchat,far
How much water should I drink per day?,chitchat,far
Suggest a workout routine for beginners.,chitchat,far
What's the difference between espresso and filter coffee?,chitchat,far
Plan a three-day itinerary for Rome.,chitchat,far
What souvenirs should I bring back from Japan?,chitchat,far
Is it cheaper to fly on Tuesdays?,chitchat,far
What's the legal driving age in Germany?,chitchat,far
How do I get red wine stains out of a carpet?,chitchat,far
"My houseplant's leaves are turning yellow, what should I do?",chitchat,far
What's a good gift for a ten year old who likes space?,chitchat,far
How do noise cancelling headphones work?,chitchat,far
Should I buy or lease a car?,chitchat,far
Explain compound interest with an example.,chitchat,far
What's the difference between stocks and bonds?,chitchat,far
How do credit scores work?,chitchat,far
What causes inflation?,chitchat,far
Who won the football world cup in 2022?,chitchat,far
"What are the rules of cricket, briefly?",chitchat,far
How many players are on a basketball team?,chitchat,far
What's the fastest marathon time ever recorded?,chitchat,far
Tell me about the history of the Olympic Games.,chitchat,far
What's the difference between a virus and a bacterium?,chitchat,far
How do vaccines work?,chitchat,far
Why do we dream?,chitchat,far
What is the placebo effect?,chitchat,far
Explain photosynthesis in one paragraph.,chitchat,far
What's the largest animal that has ever lived?,chitchat,far
How old is the universe?,chitchat,far
What is dark matter?,chitchat,far
Could you explain quantum entanglement simply?,chitchat,far
What's the difference between fission and fusion?,chitchat,far
Why is Pluto no longer a planet?,chitchat,far
What language has the most native speakers?,chitchat,far
What does 'carpe diem' mean?,chitchat,far
Give me a motivational quote for Monday morning.,chitchat,far
What's the origin of the phrase 'break a leg'?,chitchat,far
How do I tie a bow tie?,chitchat,far
What's the dress code for a black tie event?,chitchat,far
How should I introduce myself in a job interview?,chitchat,far
Write a short toast for my best friend's wedding.,chitchat,far
What are good icebreaker questions for a team event?,chitchat,far
How do I stay focused while studying?,chitchat,far
What's the Pomodoro technique?,chitchat,far
Recommend a podcast about history.,chitchat,far
What board games are fun for four players?,chitchat,far
Teach me a simple card trick.,chitchat,far
What's the difference between baking soda and baking powder?,chitchat,far
How do I sharpen a kitchen knife properly?,chitchat,far
What temperature should I bake sourdough at?,chitchat,far
Is it safe to eat raw cookie dough?,chitchat,far
What cheese goes well with pears?,chitchat,far
How do I make cold brew coffee at home?,chitchat,far
What's a good substitute for buttermilk?,chitchat,far
How long can leftovers stay in the fridge?,chitchat,far
What's the proper way to store fresh basil?,chitchat,far
Why does chopping onions make you cry?,chitchat,far
"Thanks for all your help today, you've been great!",chitchat,far
