query_id,dataset,server,tool,scenario_id,origin,anchor,positive_schema
v1-0000,v1,github,search_repositories,v1:search_repositories:s15,author_template,Search for repositories matching machine learning in Python.,"{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
v1-0001,v1,github,search_repositories,v1:search_repositories:s05,author_template,Find GitHub repos about vector databases with strong adoption.,"{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
v1-0002,v1,github,search_repositories,v1:search_repositories:s48,author_template,Search repositories tagged with kubernetes and helm.,"{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
v1-0003,v1,github,search_repositories,v1:search_repositories:s28,author_template,Look up repositories for OAuth server implementations in Rust.,"{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
v1-0004,v1,github,search_repositories,v1:search_repositories:s10,author_template,Find public repositories for Next.js ecommerce applications.,"{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
v1-0005,v1,github,search_repositories,v1:search_repositories:s13,author_template,Search GitHub for fraud detection pipeline repositories.,"{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
v1-0006,v1,github,search_repositories,v1:search_repositories:s01,author_template,Find repositories containing auth-service in the name.,"{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
v1-0007,v1,github,search_repositories,v1:search_repositories:s25,author_template,Search for graph neural network repositories with active maintenance.,"{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
v1-0008,v1,github,search_repositories,v1:search_repositories:s23,author_template,Look for repositories implementing recommendation systems in Java.,"{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
v1-0009,v1,github,search_repositories,v1:search_repositories:s34,author_template,Find repositories for Terraform AWS networking modules.,"{""name"":""search_repositories"",""description"":""Find GitHub repositories by name, description, readme, topics, or other metadata. Perfect for discovering projects, finding examples, or locating specific repositories across GitHub."",""inputSchema"":{""type"":""object"",""properties"":{""minimal_output"":{""type"":""boolean"",""description"":""Return minimal repository information (default: true). When false, returns full GitHub API repository objects."",""default"":true},""order"":{""type"":""string"",""description"":""Sort order"",""enum"":[""asc"",""desc""]},""page"":{""type"":""number"",""description"":""Page number for pagination (min 1)"",""minimum"":1},""perPage"":{""type"":""number"",""description"":""Results per page for pagination (min 1, max 100)"",""minimum"":1,""maximum"":100},""query"":{""type"":""string"",""description"":""Repository search query. Examples: 'machine learning in:name stars:>1000 language:python', 'topic:react', 'user:facebook'. Supports advanced search syntax for precise filtering.""},""sort"":{""type"":""string"",""description"":""Sort repositories by field, defaults to best match"",""enum"":[""stars"",""forks"",""help-wanted-issues"",""updated""]}},""required"":[""query""]}}"
