query_id,dataset,server,tool,scenario_id,origin,anchor,positive_schema
ms-0000,ms,asana,asana/getcustomfield,ms:asana/getcustomfield:s00,llm_claude_eval,"Show me how that custom field is defined, including its type and settings.","{""description"": ""Get a custom field. Get the complete definition of a custom field\u2019s metadata. Since custom fields can be defined for one of a number of types, and these types have different data and behaviors, there are fields that are relevant to a particular type. For instance, as noted above, enum_options is only relevant for the enum type and defines the set of choices that the enum could represent. The examp"", ""inputSchema"": {""properties"": {}, ""required"": [], ""type"": ""object""}, ""name"": ""getcustomfield""}"
ms-0001,ms,asana,asana/getcustomfield,ms:asana/getcustomfield:s01,llm_claude_eval,What are the metadata details of the priority custom field?,"{""description"": ""Get a custom field. Get the complete definition of a custom field\u2019s metadata. Since custom fields can be defined for one of a number of types, and these types have different data and behaviors, there are fields that are relevant to a particular type. For instance, as noted above, enum_options is only relevant for the enum type and defines the set of choices that the enum could represent. The examp"", ""inputSchema"": {""properties"": {}, ""required"": [], ""type"": ""object""}, ""name"": ""getcustomfield""}"
ms-0002,ms,asana,asana/getcustomfield,ms:asana/getcustomfield:s02,llm_claude_eval,I need the full definition of the custom field we use for sprint tracking.,"{""description"": ""Get a custom field. Get the complete definition of a custom field\u2019s metadata. Since custom fields can be defined for one of a number of types, and these types have different data and behaviors, there are fields that are relevant to a particular type. For instance, as noted above, enum_options is only relevant for the enum type and defines the set of choices that the enum could represent. The examp"", ""inputSchema"": {""properties"": {}, ""required"": [], ""type"": ""object""}, ""name"": ""getcustomfield""}"
ms-0003,ms,asana,asana/creategoal,ms:asana/creategoal:s00,llm_claude_eval,Set up a new quarterly objective for the marketing team workspace.,"{""description"": ""Create a goal. Creates a new goal in a workspace or team. Returns the full record of the newly created goal."", ""inputSchema"": {""properties"": {""data"": {""description"": ""The data field"", ""type"": ""string""}}, ""required"": [], ""type"": ""object""}, ""name"": ""creategoal""}"
ms-0004,ms,asana,asana/creategoal,ms:asana/creategoal:s01,llm_claude_eval,Can you add a goal called 'Reduce churn by 10%' to our team?,"{""description"": ""Create a goal. Creates a new goal in a workspace or team. Returns the full record of the newly created goal."", ""inputSchema"": {""properties"": {""data"": {""description"": ""The data field"", ""type"": ""string""}}, ""required"": [], ""type"": ""object""}, ""name"": ""creategoal""}"
ms-0005,ms,asana,asana/creategoal,ms:asana/creategoal:s02,llm_claude_eval,We agreed on a new target last planning meeting - please record it as a goal.,"{""description"": ""Create a goal. Creates a new goal in a workspace or team. Returns the full record of the newly created goal."", ""inputSchema"": {""properties"": {""data"": {""description"": ""The data field"", ""type"": ""string""}}, ""required"": [], ""type"": ""object""}, ""name"": ""creategoal""}"
ms-0006,ms,asana,asana/insertenumoptionforcustomfield,ms:asana/insertenumoptionforcustomfield:s00,llm_claude_eval,Move the 'Blocked' option above 'In Review' in that dropdown field.,"{""description"": ""Reorder a custom field's enum. Moves a particular enum option to be either before or after another specified enum option in the custom field. Locked custom fields can only be reordered by the user who locked the field."", ""inputSchema"": {""properties"": {""data"": {""description"": ""The data field"", ""type"": ""string""}}, ""required"": [], ""type"": ""object""}, ""name"": ""insertenumoptionforcustomfield""}"
ms-0007,ms,asana,asana/insertenumoptionforcustomfield,ms:asana/insertenumoptionforcustomfield:s01,llm_claude_eval,Can you reorder the choices of our status field so Critical comes first?,"{""description"": ""Reorder a custom field's enum. Moves a particular enum option to be either before or after another specified enum option in the custom field. Locked custom fields can only be reordered by the user who locked the field."", ""inputSchema"": {""properties"": {""data"": {""description"": ""The data field"", ""type"": ""string""}}, ""required"": [], ""type"": ""object""}, ""name"": ""insertenumoptionforcustomfield""}"
ms-0008,ms,asana,asana/insertenumoptionforcustomfield,ms:asana/insertenumoptionforcustomfield:s02,llm_claude_eval,The dropdown options are in the wrong order - put Low after Medium.,"{""description"": ""Reorder a custom field's enum. Moves a particular enum option to be either before or after another specified enum option in the custom field. Locked custom fields can only be reordered by the user who locked the field."", ""inputSchema"": {""properties"": {""data"": {""description"": ""The data field"", ""type"": ""string""}}, ""required"": [], ""type"": ""object""}, ""name"": ""insertenumoptionforcustomfield""}"
ms-0009,ms,atlassian,atlassian/getallsystemavatars,ms:atlassian/getallsystemavatars:s00,llm_claude_eval,List the built-in avatars available for projects.,"{""description"": ""Get system avatars by type. Returns a list of system avatar details by owner type, where the owner types are issue type, project, or user. This operation can be accessed anonymously. **[Permissions](#permissions) required:** None."", ""inputSchema"": {""properties"": {""type"": {""description"": ""The avatar type."", ""type"": ""string""}}, ""required"": [""type""], ""type"": ""object""}, ""name"": ""getallsystemavatars""}"
